seconds 	point x 	point y 	point z 	position x	position y	position z	pupil diameter	flag    	

0.05    	-0.09   	0.12    	9.90    	0.00    	1.95    	8.76    	5.36    	-       	
0.07    	-0.09   	0.12    	9.91    	0.00    	1.95    	8.76    	5.36    	-       	
0.10    	-0.10   	0.12    	9.93    	0.00    	1.95    	8.76    	5.36    	-       	
0.12    	-0.09   	0.12    	9.95    	0.00    	1.95    	8.76    	5.38    	-       	
0.13    	-0.08   	0.12    	9.89    	0.00    	1.95    	8.76    	5.33    	-       	
0.15    	-0.08   	0.12    	9.89    	0.00    	1.95    	8.76    	0.00    	-       	
0.17    	-0.08   	0.12    	9.89    	0.00    	1.95    	8.76    	0.00    	-       	
0.18    	-0.08   	0.12    	9.89    	0.00    	1.95    	8.76    	0.00    	-       	
0.20    	-0.08   	0.12    	9.89    	0.00    	1.95    	8.76    	0.00    	-       	
0.27    	-0.08   	0.12    	9.88    	0.00    	1.95    	8.76    	0.00    	-       	
0.28    	-0.07   	0.12    	9.85    	0.00    	1.95    	8.75    	0.00    	-       	
0.30    	-0.06   	0.12    	9.84    	0.00    	1.95    	8.75    	0.00    	-       	
0.32    	-0.06   	0.12    	9.82    	0.00    	1.94    	8.75    	0.00    	-       	
0.34    	-0.06   	0.12    	9.81    	0.01    	1.94    	8.75    	0.00    	-       	
0.36    	0.10    	0.11    	9.40    	0.01    	1.94    	8.75    	4.94    	-       	
0.38    	0.10    	0.11    	9.45    	0.01    	1.94    	8.75    	4.88    	-       	
0.40    	0.11    	0.11    	9.47    	0.01    	1.94    	8.75    	4.91    	-       	
0.42    	0.12    	0.11    	9.50    	0.01    	1.94    	8.75    	5.07    	-       	
0.44    	0.11    	0.11    	9.55    	0.01    	1.94    	8.75    	5.13    	-       	
0.46    	0.11    	0.12    	9.60    	0.01    	1.94    	8.75    	5.26    	-       	
0.48    	0.12    	0.12    	9.59    	0.01    	1.94    	8.75    	5.18    	-       	
0.50    	0.12    	0.12    	9.60    	0.01    	1.94    	8.75    	5.23    	-       	
0.51    	0.11    	0.12    	9.61    	0.01    	1.94    	8.75    	5.20    	-       	
0.52    	0.13    	0.12    	9.58    	0.01    	1.94    	8.75    	5.14    	-       	
0.54    	0.09    	0.12    	9.67    	0.01    	1.94    	8.75    	5.21    	-       	
0.56    	0.10    	0.12    	9.72    	0.01    	1.94    	8.75    	4.90    	-       	
0.58    	0.03    	0.12    	10.00   	0.01    	1.94    	8.76    	5.29    	-       	
0.59    	0.04    	0.12    	10.09   	0.01    	1.94    	8.76    	5.35    	-       	
0.61    	0.03    	0.12    	10.11   	0.01    	1.94    	8.76    	5.40    	-       	
0.63    	0.02    	0.12    	10.07   	0.01    	1.94    	8.76    	5.19    	-       	
0.64    	0.01    	0.12    	10.12   	0.01    	1.95    	8.76    	5.35    	-       	
0.67    	0.01    	0.12    	10.15   	0.01    	1.95    	8.76    	5.29    	-       	
0.68    	-0.01   	0.12    	10.16   	0.01    	1.95    	8.76    	5.30    	-       	
0.70    	-0.00   	0.12    	10.17   	0.01    	1.95    	8.76    	5.27    	-       	
0.72    	-0.00   	0.12    	10.17   	0.01    	1.95    	8.76    	5.20    	-       	
0.75    	-0.01   	0.12    	10.18   	0.01    	1.95    	8.76    	5.17    	-       	
0.76    	-0.01   	0.12    	10.18   	0.01    	1.95    	8.76    	5.13    	-       	
0.78    	-0.01   	0.12    	10.19   	0.01    	1.95    	8.76    	5.12    	-       	
0.79    	0.00    	0.12    	10.21   	0.01    	1.95    	8.76    	5.11    	-       	
0.81    	0.00    	0.12    	10.21   	0.01    	1.95    	8.76    	5.05    	-       	
0.83    	0.02    	0.13    	10.21   	0.01    	1.95    	8.76    	4.96    	-       	
0.84    	0.02    	0.13    	10.21   	0.01    	1.95    	8.76    	4.90    	-       	
0.86    	0.02    	0.13    	10.22   	0.01    	1.95    	8.76    	4.89    	-       	
0.88    	0.03    	0.13    	10.23   	0.01    	1.95    	8.76    	4.82    	-       	
0.90    	0.03    	0.13    	10.23   	0.01    	1.95    	8.76    	4.69    	tutorial, name: Tutor1 starting	
1.05    	-0.02   	0.12    	10.19   	0.01    	1.95    	8.76    	4.18    	-       	
1.07    	-0.01   	0.12    	10.20   	0.02    	1.95    	8.76    	4.03    	-       	
1.10    	0.17    	0.13    	10.39   	0.02    	1.96    	8.76    	4.10    	-       	
1.12    	0.24    	0.14    	10.50   	0.02    	1.96    	8.76    	3.95    	-       	
1.13    	0.22    	0.14    	10.48   	0.02    	1.96    	8.76    	3.94    	-       	
1.15    	0.22    	0.14    	10.46   	0.02    	1.96    	8.76    	3.85    	-       	
1.17    	0.23    	0.14    	10.48   	0.02    	1.96    	8.76    	3.89    	-       	
1.19    	0.22    	0.14    	10.50   	0.02    	1.96    	8.76    	3.80    	-       	
